condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,0,0
inc,images/incR.bmp,0,0
con,images/conR.bmp,1,460
inc,images/incL.bmp,0,0
inc,images/incL.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,1,1068
con,images/conL.bmp,1,532
con,images/conR.bmp,1,395
neu,images/neuR.bmp,1,483
con,images/conL.bmp,1,371
inc,images/incR.bmp,1,588
neu,images/neuL.bmp,1,372
null,images/fix.bmp,,
con,images/conL.bmp,1,556
neu,images/neuR.bmp,1,412
null,images/fix.bmp,,
neu,images/neuR.bmp,1,380
inc,images/incR.bmp,0,427
neu,images/neuR.bmp,1,387
con,images/conL.bmp,1,507
con,images/conL.bmp,0,387
inc,images/incR.bmp,1,540
con,images/conR.bmp,1,500
null,images/fix.bmp,,
neu,images/neuR.bmp,1,436
null,images/fix.bmp,,
neu,images/neuR.bmp,1,372
null,images/fix.bmp,,
inc,images/incL.bmp,0,419
neu,images/neuR.bmp,1,476
inc,images/incR.bmp,1,428
con,images/conL.bmp,1,420
neu,images/neuR.bmp,1,460
inc,images/incL.bmp,1,588
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
inc,images/incR.bmp,1,796
inc,images/incL.bmp,1,1036
null,images/fix.bmp,,
inc,images/incL.bmp,1,1540
inc,images/incL.bmp,1,628
con,images/conR.bmp,1,412
null,images/fix.bmp,,
neu,images/neuR.bmp,1,436
null,images/fix.bmp,,
con,images/conL.bmp,1,507
null,images/fix.bmp,,
inc,images/incL.bmp,1,612
null,images/fix.bmp,,
neu,images/neuL.bmp,1,436
neu,images/neuL.bmp,1,468
neu,images/neuL.bmp,1,420
neu,images/neuL.bmp,1,459
neu,images/neuR.bmp,1,475
inc,images/incR.bmp,0,451
inc,images/incR.bmp,1,556
inc,images/incL.bmp,1,580
inc,images/incL.bmp,0,444
neu,images/neuR.bmp,1,468
con,images/conR.bmp,1,468
neu,images/neuR.bmp,1,428
con,images/conR.bmp,1,428
null,images/fix.bmp,,
inc,images/incR.bmp,0,779
con,images/conR.bmp,1,483
null,images/fix.bmp,,
neu,images/neuL.bmp,1,532
neu,images/neuR.bmp,1,492
null,images/fix.bmp,,
con,images/conL.bmp,1,492
con,images/conL.bmp,1,436
inc,images/incL.bmp,1,628
null,images/fix.bmp,,
inc,images/incR.bmp,1,1131
con,images/conR.bmp,1,516
null,images/fix.bmp,,
inc,images/incR.bmp,1,1100
null,images/fix.bmp,,
con,images/conR.bmp,1,628
con,images/conR.bmp,1,435
con,images/conL.bmp,1,539
neu,images/neuL.bmp,1,443
null,images/fix.bmp,,
inc,images/incR.bmp,1,596
neu,images/neuL.bmp,1,524
neu,images/neuR.bmp,1,516
inc,images/incR.bmp,1,1196
neu,images/neuL.bmp,1,492
inc,images/incR.bmp,1,1100
null,images/fix.bmp,,
con,images/conL.bmp,1,499
con,images/conR.bmp,1,1075
null,images/fix.bmp,,
neu,images/neuL.bmp,1,491
inc,images/incR.bmp,1,1100
neu,images/neuR.bmp,1,516
null,images/fix.bmp,,
inc,images/incR.bmp,1,852
null,images/fix.bmp,,
neu,images/neuR.bmp,1,852
null,images/fix.bmp,,
con,images/conL.bmp,1,619
inc,images/incL.bmp,0,1116
neu,images/neuL.bmp,1,628
con,images/conR.bmp,1,804
null,images/fix.bmp,,
inc,images/incR.bmp,1,1380
con,images/conL.bmp,1,988
null,images/fix.bmp,,
con,images/conR.bmp,1,779
null,images/fix.bmp,,
neu,images/neuR.bmp,1,836
null,images/fix.bmp,,
inc,images/incL.bmp,1,1572
null,images/fix.bmp,,
con,images/conR.bmp,1,828
null,images/fix.bmp,,
inc,images/incL.bmp,1,1276
con,images/conL.bmp,1,708
neu,images/neuL.bmp,1,531
inc,images/incR.bmp,1,747
neu,images/neuL.bmp,1,700
inc,images/incL.bmp,1,988
null,images/fix.bmp,,
con,images/conR.bmp,1,556
con,images/conR.bmp,1,556
con,images/conL.bmp,1,828
neu,images/neuR.bmp,1,820
con,images/conL.bmp,1,788
null,images/fix.bmp,,
inc,images/incL.bmp,1,1012
con,images/conR.bmp,1,716
inc,images/incR.bmp,0,1100
con,images/conL.bmp,1,1292
null,images/fix.bmp,,
inc,images/incL.bmp,1,1092
neu,images/neuR.bmp,1,820
null,images/fix.bmp,,
neu,images/neuL.bmp,1,707
null,images/fix.bmp,,
inc,images/incL.bmp,1,1371
neu,images/neuR.bmp,1,628
con,images/conR.bmp,1,516
null,images/fix.bmp,,
con,images/conL.bmp,1,980
neu,images/neuL.bmp,1,660
inc,images/incR.bmp,1,884
null,images/fix.bmp,,
con,images/conR.bmp,1,971
null,images/fix.bmp,,
con,images/conL.bmp,1,739
con,images/conR.bmp,1,811
null,images/fix.bmp,,
con,images/conL.bmp,1,731
neu,images/neuL.bmp,1,635
neu,images/neuL.bmp,1,667
inc,images/incL.bmp,1,1116
null,images/fix.bmp,,
neu,images/neuL.bmp,1,699
null,images/fix.bmp,,
,,,
,,,
