condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,822
inc,images/incR.bmp,1,806
con,images/conR.bmp,1,646
inc,images/incL.bmp,1,654
inc,images/incL.bmp,1,598
null,images/fix.bmp,,
neu,images/neuL.bmp,1,630
con,images/conL.bmp,1,551
con,images/conR.bmp,1,615
neu,images/neuR.bmp,1,526
con,images/conL.bmp,1,518
inc,images/incR.bmp,1,550
neu,images/neuL.bmp,1,462
null,images/fix.bmp,,
con,images/conL.bmp,1,630
neu,images/neuR.bmp,1,550
null,images/fix.bmp,,
neu,images/neuR.bmp,1,662
inc,images/incR.bmp,1,703
neu,images/neuR.bmp,1,551
con,images/conL.bmp,1,527
con,images/conL.bmp,1,614
inc,images/incR.bmp,1,598
con,images/conR.bmp,1,542
null,images/fix.bmp,,
neu,images/neuR.bmp,1,614
null,images/fix.bmp,,
neu,images/neuR.bmp,1,606
null,images/fix.bmp,,
inc,images/incL.bmp,1,623
neu,images/neuR.bmp,1,575
inc,images/incR.bmp,1,510
con,images/conL.bmp,1,566
neu,images/neuR.bmp,1,558
inc,images/incL.bmp,1,606
null,images/fix.bmp,,
inc,images/incL.bmp,1,638
inc,images/incR.bmp,1,590
inc,images/incL.bmp,1,574
null,images/fix.bmp,,
inc,images/incL.bmp,1,631
inc,images/incL.bmp,1,590
con,images/conR.bmp,1,582
null,images/fix.bmp,,
neu,images/neuR.bmp,1,614
null,images/fix.bmp,,
con,images/conL.bmp,1,702
null,images/fix.bmp,,
inc,images/incL.bmp,1,903
null,images/fix.bmp,,
neu,images/neuL.bmp,1,590
neu,images/neuL.bmp,1,558
neu,images/neuL.bmp,1,534
neu,images/neuL.bmp,1,550
neu,images/neuR.bmp,1,534
inc,images/incR.bmp,1,614
inc,images/incR.bmp,1,646
inc,images/incL.bmp,1,598
inc,images/incL.bmp,1,614
neu,images/neuR.bmp,1,558
con,images/conR.bmp,1,566
neu,images/neuR.bmp,1,517
con,images/conR.bmp,1,445
null,images/fix.bmp,,
inc,images/incR.bmp,1,981
con,images/conR.bmp,1,542
null,images/fix.bmp,,
neu,images/neuL.bmp,1,630
neu,images/neuR.bmp,1,662
null,images/fix.bmp,,
con,images/conL.bmp,1,830
con,images/conL.bmp,1,541
inc,images/incL.bmp,1,541
null,images/fix.bmp,,
inc,images/incR.bmp,1,733
con,images/conR.bmp,1,646
null,images/fix.bmp,,
inc,images/incR.bmp,1,614
null,images/fix.bmp,,
con,images/conR.bmp,1,645
con,images/conR.bmp,1,493
con,images/conL.bmp,1,789
neu,images/neuL.bmp,1,605
null,images/fix.bmp,,
inc,images/incR.bmp,1,637
neu,images/neuL.bmp,1,638
neu,images/neuR.bmp,1,502
inc,images/incR.bmp,1,558
neu,images/neuL.bmp,1,550
inc,images/incR.bmp,1,662
null,images/fix.bmp,,
con,images/conL.bmp,1,597
con,images/conR.bmp,1,565
null,images/fix.bmp,,
neu,images/neuL.bmp,1,597
inc,images/incR.bmp,1,653
neu,images/neuR.bmp,1,557
null,images/fix.bmp,,
inc,images/incR.bmp,1,766
null,images/fix.bmp,,
neu,images/neuR.bmp,1,670
null,images/fix.bmp,,
con,images/conL.bmp,1,669
inc,images/incL.bmp,1,637
neu,images/neuL.bmp,1,541
con,images/conR.bmp,1,485
null,images/fix.bmp,,
inc,images/incR.bmp,1,614
con,images/conL.bmp,1,582
null,images/fix.bmp,,
con,images/conR.bmp,1,646
null,images/fix.bmp,,
neu,images/neuR.bmp,1,597
null,images/fix.bmp,,
inc,images/incL.bmp,1,645
null,images/fix.bmp,,
con,images/conR.bmp,1,574
null,images/fix.bmp,,
inc,images/incL.bmp,1,678
con,images/conL.bmp,1,598
neu,images/neuL.bmp,1,622
inc,images/incR.bmp,1,606
neu,images/neuL.bmp,1,614
inc,images/incL.bmp,1,597
null,images/fix.bmp,,
con,images/conR.bmp,1,493
con,images/conR.bmp,1,557
con,images/conL.bmp,1,509
neu,images/neuR.bmp,1,446
con,images/conL.bmp,1,550
null,images/fix.bmp,,
inc,images/incL.bmp,1,782
con,images/conR.bmp,1,645
inc,images/incR.bmp,1,669
con,images/conL.bmp,1,621
null,images/fix.bmp,,
inc,images/incL.bmp,1,701
neu,images/neuR.bmp,1,565
null,images/fix.bmp,,
neu,images/neuL.bmp,1,622
null,images/fix.bmp,,
inc,images/incL.bmp,1,622
neu,images/neuR.bmp,1,502
con,images/conR.bmp,1,590
null,images/fix.bmp,,
con,images/conL.bmp,1,645
neu,images/neuL.bmp,1,605
inc,images/incR.bmp,1,613
null,images/fix.bmp,,
con,images/conR.bmp,1,662
null,images/fix.bmp,,
con,images/conL.bmp,1,646
con,images/conR.bmp,1,782
null,images/fix.bmp,,
con,images/conL.bmp,1,573
neu,images/neuL.bmp,1,613
neu,images/neuL.bmp,1,589
inc,images/incL.bmp,1,645
null,images/fix.bmp,,
neu,images/neuL.bmp,1,678
null,images/fix.bmp,,
,,,
,,,
