condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,488
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
inc,images/incL.bmp,1,675
inc,images/incL.bmp,1,563
null,images/fix.bmp,,
neu,images/neuL.bmp,1,627
con,images/conL.bmp,1,595
con,images/conR.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conL.bmp,1,403
inc,images/incR.bmp,0,0
neu,images/neuL.bmp,1,275
null,images/fix.bmp,,
con,images/conL.bmp,1,611
neu,images/neuR.bmp,0,459
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
inc,images/incR.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conL.bmp,1,412
con,images/conL.bmp,1,476
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,1,299
neu,images/neuR.bmp,0,0
inc,images/incR.bmp,0,0
con,images/conL.bmp,1,516
neu,images/neuR.bmp,0,0
inc,images/incL.bmp,1,660
null,images/fix.bmp,,
inc,images/incL.bmp,1,732
inc,images/incR.bmp,0,0
inc,images/incL.bmp,1,684
null,images/fix.bmp,,
inc,images/incL.bmp,1,756
inc,images/incL.bmp,1,628
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,581
null,images/fix.bmp,,
inc,images/incL.bmp,1,781
null,images/fix.bmp,,
neu,images/neuL.bmp,1,613
neu,images/neuL.bmp,1,597
neu,images/neuL.bmp,1,429
neu,images/neuL.bmp,1,469
neu,images/neuR.bmp,0,406
inc,images/incR.bmp,0,0
inc,images/incR.bmp,0,0
inc,images/incL.bmp,1,718
inc,images/incL.bmp,1,629
neu,images/neuR.bmp,0,0
con,images/conR.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,1,573
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,566
con,images/conL.bmp,1,534
inc,images/incL.bmp,1,734
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
con,images/conR.bmp,0,0
con,images/conL.bmp,1,743
neu,images/neuL.bmp,1,519
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
neu,images/neuL.bmp,1,479
neu,images/neuR.bmp,0,0
inc,images/incR.bmp,0,0
neu,images/neuL.bmp,1,607
inc,images/incR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,575
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,1,503
inc,images/incR.bmp,0,0
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,1,1047
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,0,0
inc,images/incL.bmp,0,0
neu,images/neuL.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
con,images/conL.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
con,images/conL.bmp,0,0
neu,images/neuL.bmp,0,0
inc,images/incR.bmp,0,0
neu,images/neuL.bmp,0,0
inc,images/incL.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
con,images/conR.bmp,0,0
con,images/conL.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conL.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
con,images/conR.bmp,0,0
inc,images/incR.bmp,0,0
con,images/conL.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,0,0
neu,images/neuL.bmp,0,0
inc,images/incR.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,0,0
neu,images/neuL.bmp,0,0
neu,images/neuL.bmp,0,0
inc,images/incL.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,0,0
null,images/fix.bmp,,
,,,
,,,
