condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,447
inc,images/incR.bmp,0,447
con,images/conR.bmp,1,431
inc,images/incL.bmp,1,566
inc,images/incL.bmp,0,422
null,images/fix.bmp,,
neu,images/neuL.bmp,1,471
con,images/conL.bmp,1,415
con,images/conR.bmp,1,415
neu,images/neuR.bmp,1,535
con,images/conL.bmp,1,463
inc,images/incR.bmp,0,414
neu,images/neuL.bmp,1,382
null,images/fix.bmp,,
con,images/conL.bmp,1,430
neu,images/neuR.bmp,1,399
null,images/fix.bmp,,
neu,images/neuR.bmp,1,407
inc,images/incR.bmp,0,415
neu,images/neuR.bmp,1,439
con,images/conL.bmp,1,414
con,images/conL.bmp,1,422
inc,images/incR.bmp,1,526
con,images/conR.bmp,1,462
null,images/fix.bmp,,
neu,images/neuR.bmp,1,471
null,images/fix.bmp,,
neu,images/neuR.bmp,1,463
null,images/fix.bmp,,
inc,images/incL.bmp,1,566
neu,images/neuR.bmp,1,382
inc,images/incR.bmp,1,582
con,images/conL.bmp,1,359
neu,images/neuR.bmp,1,455
inc,images/incL.bmp,1,551
null,images/fix.bmp,,
inc,images/incL.bmp,1,535
inc,images/incR.bmp,0,407
inc,images/incL.bmp,1,526
null,images/fix.bmp,,
inc,images/incL.bmp,1,535
inc,images/incL.bmp,1,527
con,images/conR.bmp,1,487
null,images/fix.bmp,,
neu,images/neuR.bmp,1,407
null,images/fix.bmp,,
con,images/conL.bmp,1,343
null,images/fix.bmp,,
inc,images/incL.bmp,1,535
null,images/fix.bmp,,
neu,images/neuL.bmp,1,486
neu,images/neuL.bmp,1,478
neu,images/neuL.bmp,1,446
neu,images/neuL.bmp,1,454
neu,images/neuR.bmp,1,471
inc,images/incR.bmp,0,447
inc,images/incR.bmp,1,647
inc,images/incL.bmp,1,519
inc,images/incL.bmp,1,607
neu,images/neuR.bmp,1,527
con,images/conR.bmp,1,486
neu,images/neuR.bmp,1,422
con,images/conR.bmp,1,478
null,images/fix.bmp,,
inc,images/incR.bmp,1,623
con,images/conR.bmp,1,439
null,images/fix.bmp,,
neu,images/neuL.bmp,1,407
neu,images/neuR.bmp,1,430
null,images/fix.bmp,,
con,images/conL.bmp,1,462
con,images/conL.bmp,1,430
inc,images/incL.bmp,1,575
null,images/fix.bmp,,
inc,images/incR.bmp,1,599
con,images/conR.bmp,1,431
null,images/fix.bmp,,
inc,images/incR.bmp,1,614
null,images/fix.bmp,,
con,images/conR.bmp,1,455
con,images/conR.bmp,1,439
con,images/conL.bmp,1,415
neu,images/neuL.bmp,1,463
null,images/fix.bmp,,
inc,images/incR.bmp,1,574
neu,images/neuL.bmp,1,518
neu,images/neuR.bmp,1,446
inc,images/incR.bmp,1,566
neu,images/neuL.bmp,1,447
inc,images/incR.bmp,1,551
null,images/fix.bmp,,
con,images/conL.bmp,1,415
con,images/conR.bmp,1,431
null,images/fix.bmp,,
neu,images/neuL.bmp,1,406
inc,images/incR.bmp,1,550
neu,images/neuR.bmp,1,430
null,images/fix.bmp,,
inc,images/incR.bmp,1,614
null,images/fix.bmp,,
neu,images/neuR.bmp,1,511
null,images/fix.bmp,,
con,images/conL.bmp,0,407
inc,images/incL.bmp,1,622
neu,images/neuL.bmp,1,502
con,images/conR.bmp,1,486
null,images/fix.bmp,,
inc,images/incR.bmp,1,615
con,images/conL.bmp,1,471
null,images/fix.bmp,,
con,images/conR.bmp,1,439
null,images/fix.bmp,,
neu,images/neuR.bmp,1,430
null,images/fix.bmp,,
inc,images/incL.bmp,1,582
null,images/fix.bmp,,
con,images/conR.bmp,1,422
null,images/fix.bmp,,
inc,images/incL.bmp,1,574
con,images/conL.bmp,1,462
neu,images/neuL.bmp,1,438
inc,images/incR.bmp,1,598
neu,images/neuL.bmp,1,462
inc,images/incL.bmp,1,598
null,images/fix.bmp,,
con,images/conR.bmp,1,414
con,images/conR.bmp,1,470
con,images/conL.bmp,1,478
neu,images/neuR.bmp,1,533
con,images/conL.bmp,1,398
null,images/fix.bmp,,
inc,images/incL.bmp,1,598
con,images/conR.bmp,1,494
inc,images/incR.bmp,1,622
con,images/conL.bmp,1,438
null,images/fix.bmp,,
inc,images/incL.bmp,0,406
neu,images/neuR.bmp,1,710
null,images/fix.bmp,,
neu,images/neuL.bmp,1,406
null,images/fix.bmp,,
inc,images/incL.bmp,1,558
neu,images/neuR.bmp,1,406
con,images/conR.bmp,1,518
null,images/fix.bmp,,
con,images/conL.bmp,1,406
neu,images/neuL.bmp,1,430
inc,images/incR.bmp,1,606
null,images/fix.bmp,,
con,images/conR.bmp,1,470
null,images/fix.bmp,,
con,images/conL.bmp,1,454
con,images/conR.bmp,1,398
null,images/fix.bmp,,
con,images/conL.bmp,1,454
neu,images/neuL.bmp,1,486
neu,images/neuL.bmp,1,518
inc,images/incL.bmp,1,598
null,images/fix.bmp,,
neu,images/neuL.bmp,1,494
null,images/fix.bmp,,
,,,
,,,
