condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,633
inc,images/incR.bmp,0,0
con,images/conR.bmp,1,641
inc,images/incL.bmp,0,0
inc,images/incL.bmp,1,881
null,images/fix.bmp,,
neu,images/neuL.bmp,1,626
con,images/conL.bmp,1,626
con,images/conR.bmp,1,498
neu,images/neuR.bmp,1,641
con,images/conL.bmp,1,585
inc,images/incR.bmp,1,1121
neu,images/neuL.bmp,1,625
null,images/fix.bmp,,
con,images/conL.bmp,1,737
neu,images/neuR.bmp,1,625
null,images/fix.bmp,,
neu,images/neuR.bmp,1,738
inc,images/incR.bmp,1,1122
neu,images/neuR.bmp,1,489
con,images/conL.bmp,1,569
con,images/conL.bmp,1,601
inc,images/incR.bmp,1,721
con,images/conR.bmp,1,657
null,images/fix.bmp,,
neu,images/neuR.bmp,1,690
null,images/fix.bmp,,
neu,images/neuR.bmp,1,650
null,images/fix.bmp,,
inc,images/incL.bmp,1,1065
neu,images/neuR.bmp,1,681
inc,images/incR.bmp,1,785
con,images/conL.bmp,1,521
neu,images/neuR.bmp,1,801
inc,images/incL.bmp,1,945
null,images/fix.bmp,,
inc,images/incL.bmp,1,770
inc,images/incR.bmp,1,810
inc,images/incL.bmp,1,650
null,images/fix.bmp,,
inc,images/incL.bmp,1,1297
inc,images/incL.bmp,1,681
con,images/conR.bmp,1,681
null,images/fix.bmp,,
neu,images/neuR.bmp,1,658
null,images/fix.bmp,,
con,images/conL.bmp,1,641
null,images/fix.bmp,,
inc,images/incL.bmp,1,761
null,images/fix.bmp,,
neu,images/neuL.bmp,1,626
neu,images/neuL.bmp,1,586
neu,images/neuL.bmp,1,578
neu,images/neuL.bmp,1,530
neu,images/neuR.bmp,1,489
inc,images/incR.bmp,1,777
inc,images/incR.bmp,1,625
inc,images/incL.bmp,1,665
inc,images/incL.bmp,1,673
neu,images/neuR.bmp,1,593
con,images/conR.bmp,1,681
neu,images/neuR.bmp,1,554
con,images/conR.bmp,1,578
null,images/fix.bmp,,
inc,images/incR.bmp,1,713
con,images/conR.bmp,1,537
null,images/fix.bmp,,
neu,images/neuL.bmp,1,481
neu,images/neuR.bmp,0,473
null,images/fix.bmp,,
con,images/conL.bmp,1,538
con,images/conL.bmp,1,530
inc,images/incL.bmp,1,722
null,images/fix.bmp,,
inc,images/incR.bmp,1,753
con,images/conR.bmp,1,553
null,images/fix.bmp,,
inc,images/incR.bmp,1,1089
null,images/fix.bmp,,
con,images/conR.bmp,1,682
con,images/conR.bmp,1,650
con,images/conL.bmp,1,594
neu,images/neuL.bmp,1,521
null,images/fix.bmp,,
inc,images/incR.bmp,1,689
neu,images/neuL.bmp,1,705
neu,images/neuR.bmp,1,545
inc,images/incR.bmp,1,721
neu,images/neuL.bmp,1,609
inc,images/incR.bmp,1,706
null,images/fix.bmp,,
con,images/conL.bmp,1,658
con,images/conR.bmp,1,721
null,images/fix.bmp,,
neu,images/neuL.bmp,1,577
inc,images/incR.bmp,1,721
neu,images/neuR.bmp,1,561
null,images/fix.bmp,,
inc,images/incR.bmp,1,729
null,images/fix.bmp,,
neu,images/neuR.bmp,1,641
null,images/fix.bmp,,
con,images/conL.bmp,1,728
inc,images/incL.bmp,0,0
neu,images/neuL.bmp,1,568
con,images/conR.bmp,1,569
null,images/fix.bmp,,
inc,images/incR.bmp,1,745
con,images/conL.bmp,1,649
null,images/fix.bmp,,
con,images/conR.bmp,1,657
null,images/fix.bmp,,
neu,images/neuR.bmp,1,640
null,images/fix.bmp,,
inc,images/incL.bmp,1,977
null,images/fix.bmp,,
con,images/conR.bmp,1,1673
null,images/fix.bmp,,
inc,images/incL.bmp,1,777
con,images/conL.bmp,1,729
neu,images/neuL.bmp,1,584
inc,images/incR.bmp,1,696
neu,images/neuL.bmp,1,576
inc,images/incL.bmp,1,689
null,images/fix.bmp,,
con,images/conR.bmp,1,977
con,images/conR.bmp,1,745
con,images/conL.bmp,1,633
neu,images/neuR.bmp,1,609
con,images/conL.bmp,1,601
null,images/fix.bmp,,
inc,images/incL.bmp,1,768
con,images/conR.bmp,1,777
inc,images/incR.bmp,1,929
con,images/conL.bmp,1,601
null,images/fix.bmp,,
inc,images/incL.bmp,1,849
neu,images/neuR.bmp,1,641
null,images/fix.bmp,,
neu,images/neuL.bmp,1,600
null,images/fix.bmp,,
inc,images/incL.bmp,1,688
neu,images/neuR.bmp,1,600
con,images/conR.bmp,1,657
null,images/fix.bmp,,
con,images/conL.bmp,1,721
neu,images/neuL.bmp,1,601
inc,images/incR.bmp,1,681
null,images/fix.bmp,,
con,images/conR.bmp,1,968
null,images/fix.bmp,,
con,images/conL.bmp,1,881
con,images/conR.bmp,1,665
null,images/fix.bmp,,
con,images/conL.bmp,1,673
neu,images/neuL.bmp,1,601
neu,images/neuL.bmp,1,585
inc,images/incL.bmp,1,945
null,images/fix.bmp,,
neu,images/neuL.bmp,1,560
null,images/fix.bmp,,
,,,
,,,
