trial_type	correct	response_time
neu	1	1.019
inc	1	0.723
con	1	0.483
inc	1	0.619
inc	1	0.979
neu	1	0.85
con	1	0.651
con	1	0.451
neu	1	0.491
con	1	0.547
inc	1	0.963
neu	1	0.587
con	1	0.723
neu	1	0.482
neu	1	0.898
inc	1	0.602
neu	1	0.602
con	1	0.642
con	1	0.562
inc	1	0.578
con	1	0.514
neu	1	1.066
neu	1	0.658
inc	1	0.882
neu	1	0.65
inc	1	0.69
con	1	0.506
neu	1	0.434
inc	1	0.93
inc	1	1.146
inc	1	0.746
inc	1	0.682
inc	1	0.778
inc	1	0.618
con	1	0.394
neu	1	0.578
con	1	1.81
inc	0	0.474
neu	1	0.906
neu	1	0.754
neu	1	0.522
neu	1	0.474
neu	1	0.506
inc	1	0.698
inc	1	0.698
inc	1	0.65
inc	1	0.626
neu	1	0.442
con	1	0.546
neu	1	0.49
con	1	0.506
inc	1	0.698
con	1	0.506
neu	1	0.93
neu	1	0.666
con	1	0.754
con	1	0.674
inc	1	0.826
inc	1	1.002
con	1	0.546
inc	1	0.826
con	1	0.562
con	1	0.506
con	1	0.57
neu	1	0.562
inc	1	0.922
neu	1	0.698
neu	1	0.586
inc	1	0.659
neu	1	0.738
inc	1	0.674
con	1	1.114
con	1	0.634
neu	1	0.754
inc	1	0.714
neu	1	0.61
inc	1	0.866
neu	1	0.666
con	1	1.042
inc	0	0.65
neu	1	0.706
con	1	0.474
inc	0	1.178
con	1	0.746
con	1	0.402
neu	0	0.0
inc	1	1.01
con	0	0.0
inc	1	1.002
con	1	0.69
neu	1	0.618
inc	1	0.906
neu	1	0.506
inc	1	0.666
con	1	0.53
con	1	0.587
con	1	0.578
neu	1	0.474
con	1	0.53
inc	1	1.002
con	1	0.642
inc	1	0.69
con	1	0.546
inc	0	0.33
neu	1	1.698
neu	1	0.922
inc	1	0.722
neu	1	0.538
con	1	0.53
con	1	0.866
neu	1	0.49
inc	1	0.722
con	1	0.818
con	1	0.986
con	1	0.498
con	1	0.97
neu	1	0.53
neu	1	0.594
inc	1	0.722
neu	1	0.882
