condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,1132
inc,images/incR.bmp,0,1451
con,images/conR.bmp,0,571
inc,images/incL.bmp,1,675
inc,images/incL.bmp,1,867
null,images/fix.bmp,,
neu,images/neuL.bmp,1,771
con,images/conL.bmp,1,611
con,images/conR.bmp,0,459
neu,images/neuR.bmp,0,627
con,images/conL.bmp,1,530
inc,images/incR.bmp,0,691
neu,images/neuL.bmp,1,619
null,images/fix.bmp,,
con,images/conL.bmp,1,707
neu,images/neuR.bmp,0,699
null,images/fix.bmp,,
neu,images/neuR.bmp,0,603
inc,images/incR.bmp,0,851
neu,images/neuR.bmp,0,627
con,images/conL.bmp,1,491
con,images/conL.bmp,1,618
inc,images/incR.bmp,0,963
con,images/conR.bmp,0,619
null,images/fix.bmp,,
neu,images/neuR.bmp,0,611
null,images/fix.bmp,,
neu,images/neuR.bmp,0,603
null,images/fix.bmp,,
inc,images/incL.bmp,1,1291
neu,images/neuR.bmp,0,610
inc,images/incR.bmp,0,803
con,images/conL.bmp,1,547
neu,images/neuR.bmp,0,571
inc,images/incL.bmp,1,795
null,images/fix.bmp,,
inc,images/incL.bmp,1,787
inc,images/incR.bmp,0,803
inc,images/incL.bmp,1,555
null,images/fix.bmp,,
inc,images/incL.bmp,1,739
inc,images/incL.bmp,1,659
con,images/conR.bmp,0,555
null,images/fix.bmp,,
neu,images/neuR.bmp,0,707
null,images/fix.bmp,,
con,images/conL.bmp,1,667
null,images/fix.bmp,,
inc,images/incL.bmp,1,899
null,images/fix.bmp,,
neu,images/neuL.bmp,1,715
neu,images/neuL.bmp,1,659
neu,images/neuL.bmp,1,483
neu,images/neuL.bmp,1,579
neu,images/neuR.bmp,0,683
inc,images/incR.bmp,0,915
inc,images/incR.bmp,0,811
inc,images/incL.bmp,1,1027
inc,images/incL.bmp,0,563
neu,images/neuR.bmp,0,611
con,images/conR.bmp,0,563
neu,images/neuR.bmp,0,699
con,images/conR.bmp,0,595
null,images/fix.bmp,,
inc,images/incR.bmp,0,955
con,images/conR.bmp,0,595
null,images/fix.bmp,,
neu,images/neuL.bmp,1,603
neu,images/neuR.bmp,0,595
null,images/fix.bmp,,
con,images/conL.bmp,1,595
con,images/conL.bmp,0,555
inc,images/incL.bmp,1,595
null,images/fix.bmp,,
inc,images/incR.bmp,0,826
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,651
null,images/fix.bmp,,
con,images/conR.bmp,0,683
con,images/conR.bmp,0,643
con,images/conL.bmp,1,555
neu,images/neuL.bmp,1,667
null,images/fix.bmp,,
inc,images/incR.bmp,0,739
neu,images/neuL.bmp,1,667
neu,images/neuR.bmp,0,667
inc,images/incR.bmp,0,707
neu,images/neuL.bmp,1,683
inc,images/incR.bmp,0,739
null,images/fix.bmp,,
con,images/conL.bmp,1,595
con,images/conR.bmp,0,587
null,images/fix.bmp,,
neu,images/neuL.bmp,1,651
inc,images/incR.bmp,0,643
neu,images/neuR.bmp,0,699
null,images/fix.bmp,,
inc,images/incR.bmp,0,651
null,images/fix.bmp,,
neu,images/neuR.bmp,0,627
null,images/fix.bmp,,
con,images/conL.bmp,1,722
inc,images/incL.bmp,1,1474
neu,images/neuL.bmp,1,707
con,images/conR.bmp,0,515
null,images/fix.bmp,,
inc,images/incR.bmp,0,787
con,images/conL.bmp,1,643
null,images/fix.bmp,,
con,images/conR.bmp,0,587
null,images/fix.bmp,,
neu,images/neuR.bmp,0,707
null,images/fix.bmp,,
inc,images/incL.bmp,1,875
null,images/fix.bmp,,
con,images/conR.bmp,0,691
null,images/fix.bmp,,
inc,images/incL.bmp,1,891
con,images/conL.bmp,1,675
neu,images/neuL.bmp,1,611
inc,images/incR.bmp,0,802
neu,images/neuL.bmp,1,570
inc,images/incL.bmp,0,491
null,images/fix.bmp,,
con,images/conR.bmp,0,747
con,images/conR.bmp,0,643
con,images/conL.bmp,1,635
neu,images/neuR.bmp,0,619
con,images/conL.bmp,1,603
null,images/fix.bmp,,
inc,images/incL.bmp,1,1139
con,images/conR.bmp,0,667
inc,images/incR.bmp,0,851
con,images/conL.bmp,1,619
null,images/fix.bmp,,
inc,images/incL.bmp,1,763
neu,images/neuR.bmp,0,627
null,images/fix.bmp,,
neu,images/neuL.bmp,1,651
null,images/fix.bmp,,
inc,images/incL.bmp,1,978
neu,images/neuR.bmp,0,539
con,images/conR.bmp,0,635
null,images/fix.bmp,,
con,images/conL.bmp,1,611
neu,images/neuL.bmp,1,723
inc,images/incR.bmp,0,891
null,images/fix.bmp,,
con,images/conR.bmp,0,602
null,images/fix.bmp,,
con,images/conL.bmp,1,643
con,images/conR.bmp,0,571
null,images/fix.bmp,,
con,images/conL.bmp,1,587
neu,images/neuL.bmp,1,795
neu,images/neuL.bmp,1,643
inc,images/incL.bmp,1,859
null,images/fix.bmp,,
neu,images/neuL.bmp,1,643
null,images/fix.bmp,,
,,,
,,,
