condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,788
inc,images/incR.bmp,0,1348
con,images/conR.bmp,1,644
inc,images/incL.bmp,1,588
inc,images/incL.bmp,1,684
null,images/fix.bmp,,
neu,images/neuL.bmp,1,660
con,images/conL.bmp,1,596
con,images/conR.bmp,1,651
neu,images/neuR.bmp,1,475
con,images/conL.bmp,1,508
inc,images/incR.bmp,1,732
neu,images/neuL.bmp,1,396
null,images/fix.bmp,,
con,images/conL.bmp,1,588
neu,images/neuR.bmp,1,572
null,images/fix.bmp,,
neu,images/neuR.bmp,1,652
inc,images/incR.bmp,0,436
neu,images/neuR.bmp,1,412
con,images/conL.bmp,1,572
con,images/conL.bmp,1,692
inc,images/incR.bmp,1,612
con,images/conR.bmp,1,540
null,images/fix.bmp,,
neu,images/neuR.bmp,1,572
null,images/fix.bmp,,
neu,images/neuR.bmp,1,596
null,images/fix.bmp,,
inc,images/incL.bmp,1,668
neu,images/neuR.bmp,1,492
inc,images/incR.bmp,1,652
con,images/conL.bmp,1,540
neu,images/neuR.bmp,1,468
inc,images/incL.bmp,1,652
null,images/fix.bmp,,
inc,images/incL.bmp,1,684
inc,images/incR.bmp,1,1060
inc,images/incL.bmp,1,555
null,images/fix.bmp,,
inc,images/incL.bmp,1,660
inc,images/incL.bmp,1,644
con,images/conR.bmp,1,468
null,images/fix.bmp,,
neu,images/neuR.bmp,1,612
null,images/fix.bmp,,
con,images/conL.bmp,1,676
null,images/fix.bmp,,
inc,images/incL.bmp,1,827
null,images/fix.bmp,,
neu,images/neuL.bmp,1,652
neu,images/neuL.bmp,1,564
neu,images/neuL.bmp,1,548
neu,images/neuL.bmp,1,580
neu,images/neuR.bmp,1,548
inc,images/incR.bmp,1,684
inc,images/incR.bmp,1,596
inc,images/incL.bmp,1,668
inc,images/incL.bmp,1,604
neu,images/neuR.bmp,1,572
con,images/conR.bmp,1,620
neu,images/neuR.bmp,1,628
con,images/conR.bmp,1,556
null,images/fix.bmp,,
inc,images/incR.bmp,1,644
con,images/conR.bmp,1,540
null,images/fix.bmp,,
neu,images/neuL.bmp,1,596
neu,images/neuR.bmp,1,516
null,images/fix.bmp,,
con,images/conL.bmp,1,700
con,images/conL.bmp,1,716
inc,images/incL.bmp,1,740
null,images/fix.bmp,,
inc,images/incR.bmp,1,708
con,images/conR.bmp,1,572
null,images/fix.bmp,,
inc,images/incR.bmp,1,691
null,images/fix.bmp,,
con,images/conR.bmp,1,612
con,images/conR.bmp,1,572
con,images/conL.bmp,1,700
neu,images/neuL.bmp,1,508
null,images/fix.bmp,,
inc,images/incR.bmp,1,700
neu,images/neuL.bmp,1,548
neu,images/neuR.bmp,1,660
inc,images/incR.bmp,1,676
neu,images/neuL.bmp,1,724
inc,images/incR.bmp,1,620
null,images/fix.bmp,,
con,images/conL.bmp,1,619
con,images/conR.bmp,1,636
null,images/fix.bmp,,
neu,images/neuL.bmp,1,844
inc,images/incR.bmp,1,692
neu,images/neuR.bmp,1,644
null,images/fix.bmp,,
inc,images/incR.bmp,1,684
null,images/fix.bmp,,
neu,images/neuR.bmp,1,588
null,images/fix.bmp,,
con,images/conL.bmp,1,836
inc,images/incL.bmp,1,692
neu,images/neuL.bmp,1,555
con,images/conR.bmp,1,579
null,images/fix.bmp,,
inc,images/incR.bmp,1,676
con,images/conL.bmp,1,676
null,images/fix.bmp,,
con,images/conR.bmp,1,604
null,images/fix.bmp,,
neu,images/neuR.bmp,1,652
null,images/fix.bmp,,
inc,images/incL.bmp,1,732
null,images/fix.bmp,,
con,images/conR.bmp,1,572
null,images/fix.bmp,,
inc,images/incL.bmp,1,747
con,images/conL.bmp,1,683
neu,images/neuL.bmp,1,475
inc,images/incR.bmp,1,875
neu,images/neuL.bmp,1,547
inc,images/incL.bmp,1,675
null,images/fix.bmp,,
con,images/conR.bmp,1,571
con,images/conR.bmp,1,475
con,images/conL.bmp,1,611
neu,images/neuR.bmp,1,411
con,images/conL.bmp,1,475
null,images/fix.bmp,,
inc,images/incL.bmp,1,644
con,images/conR.bmp,1,611
inc,images/incR.bmp,1,1019
con,images/conL.bmp,1,499
null,images/fix.bmp,,
inc,images/incL.bmp,1,643
neu,images/neuR.bmp,1,667
null,images/fix.bmp,,
neu,images/neuL.bmp,1,539
null,images/fix.bmp,,
inc,images/incL.bmp,1,667
neu,images/neuR.bmp,1,579
con,images/conR.bmp,1,571
null,images/fix.bmp,,
con,images/conL.bmp,1,644
neu,images/neuL.bmp,1,644
inc,images/incR.bmp,1,819
null,images/fix.bmp,,
con,images/conR.bmp,1,731
null,images/fix.bmp,,
con,images/conL.bmp,1,603
con,images/conR.bmp,1,611
null,images/fix.bmp,,
con,images/conL.bmp,1,595
neu,images/neuL.bmp,1,659
neu,images/neuL.bmp,1,555
inc,images/incL.bmp,1,652
null,images/fix.bmp,,
neu,images/neuL.bmp,1,548
null,images/fix.bmp,,
,,,
,,,
