condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,569
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
inc,images/incL.bmp,1,665
inc,images/incL.bmp,1,610
null,images/fix.bmp,,
neu,images/neuL.bmp,1,529
con,images/conL.bmp,1,505
con,images/conR.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conL.bmp,1,441
inc,images/incR.bmp,0,513
neu,images/neuL.bmp,1,513
null,images/fix.bmp,,
con,images/conL.bmp,1,658
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
inc,images/incR.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conL.bmp,1,537
con,images/conL.bmp,1,561
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
neu,images/neuR.bmp,0,0
inc,images/incR.bmp,0,0
con,images/conL.bmp,1,474
neu,images/neuR.bmp,0,0
inc,images/incL.bmp,1,770
null,images/fix.bmp,,
inc,images/incL.bmp,1,705
inc,images/incR.bmp,0,745
inc,images/incL.bmp,1,665
null,images/fix.bmp,,
inc,images/incL.bmp,1,633
inc,images/incL.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,625
null,images/fix.bmp,,
inc,images/incL.bmp,1,769
null,images/fix.bmp,,
neu,images/neuL.bmp,1,537
neu,images/neuL.bmp,1,569
neu,images/neuL.bmp,1,425
neu,images/neuL.bmp,1,457
neu,images/neuR.bmp,0,0
inc,images/incR.bmp,0,0
inc,images/incR.bmp,0,0
inc,images/incL.bmp,1,641
inc,images/incL.bmp,1,610
neu,images/neuR.bmp,0,0
con,images/conR.bmp,0,0
neu,images/neuR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,1,513
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,521
con,images/conL.bmp,1,625
inc,images/incL.bmp,1,641
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
con,images/conR.bmp,0,0
con,images/conL.bmp,1,553
neu,images/neuL.bmp,1,521
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
neu,images/neuL.bmp,1,713
neu,images/neuR.bmp,0,0
inc,images/incR.bmp,0,0
neu,images/neuL.bmp,1,602
inc,images/incR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,713
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,1,737
inc,images/incR.bmp,0,0
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,521
inc,images/incL.bmp,1,665
neu,images/neuL.bmp,1,617
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incR.bmp,0,0
con,images/conL.bmp,1,648
null,images/fix.bmp,,
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuR.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
null,images/fix.bmp,,
inc,images/incL.bmp,1,816
con,images/conL.bmp,1,640
neu,images/neuL.bmp,1,664
inc,images/incR.bmp,0,0
neu,images/neuL.bmp,1,625
inc,images/incL.bmp,1,641
null,images/fix.bmp,,
con,images/conR.bmp,0,0
con,images/conR.bmp,0,0
con,images/conL.bmp,1,777
neu,images/neuR.bmp,0,0
con,images/conL.bmp,1,944
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
con,images/conR.bmp,0,0
inc,images/incR.bmp,0,801
con,images/conL.bmp,1,617
null,images/fix.bmp,,
inc,images/incL.bmp,1,657
neu,images/neuR.bmp,0,1160
null,images/fix.bmp,,
neu,images/neuL.bmp,1,640
null,images/fix.bmp,,
inc,images/incL.bmp,1,1089
neu,images/neuR.bmp,0,1169
con,images/conR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,585
neu,images/neuL.bmp,1,632
inc,images/incR.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,649
con,images/conR.bmp,0,0
null,images/fix.bmp,,
con,images/conL.bmp,1,681
neu,images/neuL.bmp,1,936
neu,images/neuL.bmp,1,648
inc,images/incL.bmp,1,928
null,images/fix.bmp,,
neu,images/neuL.bmp,1,713
null,images/fix.bmp,,
,,,
,,,
