trial_type	correct	response_time
neu	1	0.648
inc	1	0.792
con	1	0.592
inc	1	0.56
inc	1	0.664
neu	1	0.648
con	1	0.616
con	1	0.592
neu	1	0.632
con	1	0.6
inc	1	0.64
neu	1	0.56
con	1	0.656
neu	1	0.528
neu	1	0.672
inc	1	0.696
neu	1	0.544
con	1	0.584
con	1	0.6
inc	1	0.681
con	1	0.473
neu	1	0.624
neu	1	0.576
inc	1	0.736
neu	1	0.56
inc	1	0.584
con	1	0.568
neu	1	0.56
inc	1	0.672
inc	1	0.656
inc	1	0.68
inc	1	0.672
inc	1	0.664
inc	1	0.656
con	1	0.584
neu	1	0.648
con	1	0.608
inc	1	0.656
neu	1	0.672
neu	1	0.56
neu	1	0.584
neu	1	0.56
neu	1	0.608
inc	1	0.712
inc	1	0.632
inc	1	0.68
inc	1	0.592
neu	1	0.568
con	1	0.6
neu	1	0.616
con	1	0.536
inc	1	0.68
con	1	0.592
neu	1	0.624
neu	1	0.584
con	1	0.656
con	1	0.6
inc	1	0.68
inc	1	0.688
con	1	0.536
inc	1	0.64
con	1	0.616
con	1	0.528
con	1	0.816
neu	1	0.568
inc	1	0.624
neu	1	0.657
neu	1	0.441
inc	1	0.632
neu	1	0.632
inc	1	0.752
con	1	0.616
con	1	0.552
neu	1	0.512
inc	1	0.648
neu	1	0.704
inc	1	0.656
neu	1	0.52
con	1	0.648
inc	0	0.608
neu	1	0.664
con	1	0.56
inc	1	0.616
con	1	0.608
con	1	0.512
neu	1	0.648
inc	1	0.752
con	1	0.648
inc	1	0.712
con	1	0.6
neu	1	0.569
inc	1	0.848
neu	1	0.632
inc	1	0.664
con	1	0.584
con	1	0.608
con	1	0.624
neu	1	0.592
con	1	0.608
inc	1	0.816
con	1	0.56
inc	1	0.672
con	1	0.656
inc	1	0.721
neu	1	0.616
neu	1	0.64
inc	1	0.856
neu	1	0.536
con	1	0.616
con	1	0.584
neu	1	0.576
inc	1	0.632
con	1	0.632
con	1	0.64
con	1	0.48
con	1	0.6
neu	1	0.624
neu	1	0.552
inc	1	0.656
neu	1	0.592
