trial_type	correct	response_time
neu	1	0.593
inc	1	1.097
con	1	0.545
inc	1	0.561
inc	1	0.617
neu	1	0.577
con	1	0.448
con	1	0.528
neu	1	0.496
con	1	0.448
inc	1	0.536
neu	1	0.432
con	1	0.48
neu	1	0.425
neu	1	0.553
inc	1	0.633
neu	1	0.537
con	1	0.545
con	1	0.473
inc	1	0.569
con	1	0.432
neu	1	0.56
neu	1	0.488
inc	1	0.601
neu	1	0.529
inc	1	0.569
con	1	0.537
neu	1	0.481
inc	1	0.585
inc	1	0.633
inc	1	0.608
inc	1	0.584
inc	1	0.648
inc	1	0.608
con	0	0.768
neu	1	0.521
con	1	0.577
inc	1	0.624
neu	1	1.072
neu	0	0.0
neu	1	0.56
neu	1	0.464
neu	1	0.601
inc	1	1.081
inc	1	0.609
inc	1	0.553
inc	1	0.585
neu	1	0.521
con	1	0.617
neu	1	0.497
con	1	0.441
inc	1	0.96
con	1	0.704
neu	1	0.648
neu	1	0.561
con	1	0.513
con	1	0.489
inc	1	0.609
inc	1	1.017
con	1	0.521
inc	1	1.024
con	1	0.608
con	1	0.48
con	1	0.657
neu	1	0.513
inc	1	0.673
neu	1	0.489
neu	1	0.481
inc	1	0.649
neu	1	0.489
inc	1	0.617
con	1	0.48
con	1	0.536
neu	1	0.472
inc	0	0.448
neu	1	0.44
inc	1	0.457
neu	1	0.641
con	1	0.545
inc	0	0.433
neu	0	0.0
con	1	0.504
inc	1	0.808
con	1	0.552
con	1	0.593
neu	1	0.657
inc	1	0.657
con	1	0.753
inc	1	0.616
con	1	0.536
neu	1	0.544
inc	1	0.664
neu	1	0.528
inc	1	0.576
con	1	0.537
con	1	0.529
con	1	0.497
neu	1	0.561
con	1	0.545
inc	1	0.76
con	1	0.696
inc	1	0.768
con	1	0.48
inc	1	0.672
neu	1	0.528
neu	1	0.545
inc	1	0.617
neu	1	0.473
con	1	0.553
con	1	0.657
neu	1	0.528
inc	1	0.72
con	1	0.624
con	1	0.608
con	1	0.537
con	1	0.545
neu	0	0.0
neu	1	0.465
inc	1	0.745
neu	1	0.537
