condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,815
inc,images/incR.bmp,1,791
con,images/conR.bmp,1,591
inc,images/incL.bmp,1,831
inc,images/incL.bmp,1,671
null,images/fix.bmp,,
neu,images/neuL.bmp,1,711
con,images/conL.bmp,1,527
con,images/conR.bmp,1,679
neu,images/neuR.bmp,1,711
con,images/conL.bmp,1,639
inc,images/incR.bmp,1,775
neu,images/neuL.bmp,1,616
null,images/fix.bmp,,
con,images/conL.bmp,1,696
neu,images/neuR.bmp,1,680
null,images/fix.bmp,,
neu,images/neuR.bmp,1,744
inc,images/incR.bmp,1,880
neu,images/neuR.bmp,1,704
con,images/conL.bmp,1,623
con,images/conL.bmp,1,616
inc,images/incR.bmp,1,687
con,images/conR.bmp,1,759
null,images/fix.bmp,,
neu,images/neuR.bmp,1,840
null,images/fix.bmp,,
neu,images/neuR.bmp,1,744
null,images/fix.bmp,,
inc,images/incL.bmp,1,776
neu,images/neuR.bmp,1,721
inc,images/incR.bmp,1,784
con,images/conL.bmp,1,648
neu,images/neuR.bmp,1,696
inc,images/incL.bmp,1,656
null,images/fix.bmp,,
inc,images/incL.bmp,1,792
inc,images/incR.bmp,1,808
inc,images/incL.bmp,1,848
null,images/fix.bmp,,
inc,images/incL.bmp,1,713
inc,images/incL.bmp,1,721
con,images/conR.bmp,1,729
null,images/fix.bmp,,
neu,images/neuR.bmp,1,833
null,images/fix.bmp,,
con,images/conL.bmp,1,721
null,images/fix.bmp,,
inc,images/incL.bmp,1,841
null,images/fix.bmp,,
neu,images/neuL.bmp,1,746
neu,images/neuL.bmp,1,626
neu,images/neuL.bmp,1,594
neu,images/neuL.bmp,1,603
neu,images/neuR.bmp,1,682
inc,images/incR.bmp,1,716
inc,images/incR.bmp,1,756
inc,images/incL.bmp,1,673
inc,images/incL.bmp,1,748
neu,images/neuR.bmp,1,668
con,images/conR.bmp,1,700
neu,images/neuR.bmp,1,620
con,images/conR.bmp,1,604
null,images/fix.bmp,,
inc,images/incR.bmp,1,780
con,images/conR.bmp,1,733
null,images/fix.bmp,,
neu,images/neuL.bmp,1,516
neu,images/neuR.bmp,1,708
null,images/fix.bmp,,
con,images/conL.bmp,1,709
con,images/conL.bmp,1,653
inc,images/incL.bmp,1,797
null,images/fix.bmp,,
inc,images/incR.bmp,1,797
con,images/conR.bmp,1,645
null,images/fix.bmp,,
inc,images/incR.bmp,1,741
null,images/fix.bmp,,
con,images/conR.bmp,1,629
con,images/conR.bmp,1,630
con,images/conL.bmp,1,654
neu,images/neuL.bmp,1,678
null,images/fix.bmp,,
inc,images/incR.bmp,1,950
neu,images/neuL.bmp,1,726
neu,images/neuR.bmp,1,694
inc,images/incR.bmp,1,789
neu,images/neuL.bmp,1,694
inc,images/incR.bmp,1,845
null,images/fix.bmp,,
con,images/conL.bmp,1,677
con,images/conR.bmp,1,653
null,images/fix.bmp,,
neu,images/neuL.bmp,1,605
inc,images/incR.bmp,1,765
neu,images/neuR.bmp,1,621
null,images/fix.bmp,,
inc,images/incR.bmp,1,750
null,images/fix.bmp,,
neu,images/neuR.bmp,1,614
null,images/fix.bmp,,
con,images/conL.bmp,1,694
inc,images/incL.bmp,1,814
neu,images/neuL.bmp,1,702
con,images/conR.bmp,1,686
null,images/fix.bmp,,
inc,images/incR.bmp,1,750
con,images/conL.bmp,1,734
null,images/fix.bmp,,
con,images/conR.bmp,1,783
null,images/fix.bmp,,
neu,images/neuR.bmp,1,671
null,images/fix.bmp,,
inc,images/incL.bmp,1,783
null,images/fix.bmp,,
con,images/conR.bmp,1,711
null,images/fix.bmp,,
inc,images/incL.bmp,1,831
con,images/conL.bmp,1,719
neu,images/neuL.bmp,1,647
inc,images/incR.bmp,1,903
neu,images/neuL.bmp,1,679
inc,images/incL.bmp,1,816
null,images/fix.bmp,,
con,images/conR.bmp,1,975
con,images/conR.bmp,1,687
con,images/conL.bmp,1,679
neu,images/neuR.bmp,1,751
con,images/conL.bmp,1,719
null,images/fix.bmp,,
inc,images/incL.bmp,1,855
con,images/conR.bmp,1,975
inc,images/incR.bmp,1,968
con,images/conL.bmp,1,679
null,images/fix.bmp,,
inc,images/incL.bmp,1,896
neu,images/neuR.bmp,1,816
null,images/fix.bmp,,
neu,images/neuL.bmp,1,744
null,images/fix.bmp,,
inc,images/incL.bmp,1,880
neu,images/neuR.bmp,1,736
con,images/conR.bmp,1,728
null,images/fix.bmp,,
con,images/conL.bmp,1,736
neu,images/neuL.bmp,1,680
inc,images/incR.bmp,1,792
null,images/fix.bmp,,
con,images/conR.bmp,1,809
null,images/fix.bmp,,
con,images/conL.bmp,1,681
con,images/conR.bmp,1,729
null,images/fix.bmp,,
con,images/conL.bmp,1,665
neu,images/neuL.bmp,1,761
neu,images/neuL.bmp,1,705
inc,images/incL.bmp,1,712
null,images/fix.bmp,,
neu,images/neuL.bmp,1,800
null,images/fix.bmp,,
,,,
,,,
