trial_type	correct	response_time
neu	1	1.357
inc	1	1.341
con	1	0.661
inc	1	1.117
inc	1	0.877
neu	1	1.205
con	1	0.781
con	1	0.549
neu	1	0.605
con	1	0.549
inc	1	0.908
neu	1	0.748
con	1	0.02
neu	1	0.773
neu	1	0.717
inc	1	0.845
neu	1	0.749
con	1	0.477
con	1	0.653
inc	1	0.877
con	1	0.541
neu	1	0.565
neu	1	0.549
inc	1	0.908
neu	1	0.612
inc	1	1.036
con	1	0.509
neu	1	0.573
inc	1	0.757
inc	1	0.813
inc	1	0.813
inc	1	0.725
inc	1	1.453
inc	1	0.773
con	1	0.645
neu	1	0.732
con	1	0.533
inc	1	0.917
neu	1	0.797
neu	1	0.597
neu	1	0.661
neu	1	0.597
neu	1	0.597
inc	1	1.453
inc	1	0.869
inc	1	0.597
inc	1	0.821
neu	1	0.46
con	1	0.58
neu	1	0.516
con	1	0.58
inc	1	0.933
con	1	0.621
neu	1	0.613
neu	1	0.613
con	1	0.581
con	1	0.653
inc	1	0.781
inc	1	0.789
con	1	0.676
inc	0	0.524
con	1	0.637
con	1	0.717
con	1	0.509
neu	1	0.661
inc	1	0.637
neu	1	0.461
neu	1	0.469
inc	1	0.757
neu	1	0.509
inc	1	0.893
con	1	0.605
con	1	0.533
neu	1	0.532
inc	1	0.604
neu	0	0.484
inc	1	0.589
neu	1	0.613
con	1	0.885
inc	1	1.453
neu	1	0.741
con	1	0.573
inc	1	1.613
con	1	0.741
con	1	0.644
neu	1	0.717
inc	1	0.869
con	1	0.541
inc	1	0.765
con	1	0.757
neu	1	0.653
inc	1	1.445
neu	1	0.501
inc	1	0.773
con	1	0.645
con	1	0.677
con	1	0.564
neu	1	0.676
con	1	0.748
inc	1	1.052
con	1	0.78
inc	1	0.684
con	1	0.62
inc	1	1.004
neu	1	0.772
neu	1	0.676
inc	1	0.797
neu	1	0.765
con	1	0.549
con	1	0.596
neu	1	0.668
inc	1	0.724
con	1	0.684
con	1	0.612
con	1	0.588
con	1	0.564
neu	1	0.748
neu	1	0.804
inc	1	0.748
neu	1	0.636
