trial_type	correct	response_time
neu	1	0.782
inc	1	0.695
con	1	0.774
inc	1	0.742
inc	1	0.702
neu	1	0.606
con	1	0.494
con	1	0.638
neu	1	0.566
con	1	0.566
inc	1	0.622
neu	1	0.558
con	1	0.598
neu	1	0.574
neu	1	0.614
inc	1	0.678
neu	1	0.558
con	1	0.574
con	1	0.566
inc	1	0.679
con	1	0.574
neu	1	0.606
neu	1	0.502
inc	1	0.702
neu	1	0.582
inc	1	0.758
con	1	0.582
neu	1	0.422
inc	1	0.63
inc	1	0.63
inc	1	0.678
inc	1	0.606
inc	1	0.638
inc	1	0.542
con	1	0.623
neu	1	0.558
con	1	0.59
inc	1	0.614
neu	1	0.598
neu	1	0.494
neu	1	0.558
neu	1	0.558
neu	1	0.59
inc	1	0.71
inc	1	0.622
inc	1	0.598
inc	1	0.59
neu	1	0.598
con	1	0.543
neu	1	0.478
con	1	0.518
inc	1	0.638
con	1	0.534
neu	1	0.638
neu	1	0.702
con	1	0.59
con	1	0.542
inc	1	0.638
inc	1	0.846
con	1	0.614
inc	1	0.766
con	1	0.79
con	1	0.75
con	1	0.67
neu	1	0.678
inc	1	0.774
neu	1	0.574
neu	1	0.51
inc	1	0.662
neu	1	0.606
inc	1	0.71
con	1	0.59
con	1	0.558
neu	1	0.638
inc	1	0.646
neu	1	0.59
inc	1	0.646
neu	1	0.75
con	1	0.582
inc	1	0.678
neu	1	0.582
con	1	0.59
inc	1	0.734
con	1	0.526
con	1	0.806
neu	1	0.59
inc	1	0.638
con	1	0.702
inc	1	0.678
con	1	0.47
neu	1	0.398
inc	1	0.669
neu	1	0.397
inc	1	0.661
con	1	0.877
con	1	0.541
con	1	0.557
neu	1	0.629
con	1	0.493
inc	1	0.669
con	1	0.574
inc	1	0.757
con	1	0.573
inc	1	0.654
neu	1	0.55
neu	1	0.63
inc	1	0.678
neu	1	0.573
con	1	0.677
con	1	0.589
neu	1	0.565
inc	1	0.677
con	1	0.941
con	1	0.669
con	1	0.541
con	1	0.501
neu	1	0.494
neu	1	0.462
inc	1	0.654
neu	1	0.566
