condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,577
inc,images/incR.bmp,1,377
con,images/conR.bmp,1,505
inc,images/incL.bmp,0,441
inc,images/incL.bmp,1,657
null,images/fix.bmp,,
neu,images/neuL.bmp,1,569
con,images/conL.bmp,1,489
con,images/conR.bmp,1,545
neu,images/neuR.bmp,1,521
con,images/conL.bmp,1,585
inc,images/incR.bmp,0,881
neu,images/neuL.bmp,1,537
null,images/fix.bmp,,
con,images/conL.bmp,1,586
neu,images/neuR.bmp,1,625
null,images/fix.bmp,,
neu,images/neuR.bmp,1,593
inc,images/incR.bmp,0,713
neu,images/neuR.bmp,1,633
con,images/conL.bmp,1,945
con,images/conL.bmp,1,617
inc,images/incR.bmp,0,945
con,images/conR.bmp,1,569
null,images/fix.bmp,,
neu,images/neuR.bmp,1,561
null,images/fix.bmp,,
neu,images/neuR.bmp,1,585
null,images/fix.bmp,,
inc,images/incL.bmp,0,1113
neu,images/neuR.bmp,1,593
inc,images/incR.bmp,0,937
con,images/conL.bmp,1,553
neu,images/neuR.bmp,1,593
inc,images/incL.bmp,1,738
null,images/fix.bmp,,
inc,images/incL.bmp,1,729
inc,images/incR.bmp,0,1057
inc,images/incL.bmp,1,793
null,images/fix.bmp,,
inc,images/incL.bmp,1,921
inc,images/incL.bmp,1,649
con,images/conR.bmp,1,761
null,images/fix.bmp,,
neu,images/neuR.bmp,1,625
null,images/fix.bmp,,
con,images/conL.bmp,1,897
null,images/fix.bmp,,
inc,images/incL.bmp,1,1153
null,images/fix.bmp,,
neu,images/neuL.bmp,1,658
neu,images/neuL.bmp,1,586
neu,images/neuL.bmp,1,585
neu,images/neuL.bmp,1,441
neu,images/neuR.bmp,1,617
inc,images/incR.bmp,1,1449
inc,images/incR.bmp,1,1081
inc,images/incL.bmp,1,737
inc,images/incL.bmp,1,745
neu,images/neuR.bmp,1,641
con,images/conR.bmp,1,625
neu,images/neuR.bmp,1,609
con,images/conR.bmp,1,649
null,images/fix.bmp,,
inc,images/incR.bmp,1,1057
con,images/conR.bmp,1,681
null,images/fix.bmp,,
neu,images/neuL.bmp,1,617
neu,images/neuR.bmp,1,625
null,images/fix.bmp,,
con,images/conL.bmp,1,769
con,images/conL.bmp,1,601
inc,images/incL.bmp,0,1129
null,images/fix.bmp,,
inc,images/incR.bmp,1,968
con,images/conR.bmp,1,648
null,images/fix.bmp,,
inc,images/incR.bmp,1,1512
null,images/fix.bmp,,
con,images/conR.bmp,1,664
con,images/conR.bmp,1,608
con,images/conL.bmp,1,568
neu,images/neuL.bmp,1,696
null,images/fix.bmp,,
inc,images/incR.bmp,1,992
neu,images/neuL.bmp,1,705
neu,images/neuR.bmp,1,697
inc,images/incR.bmp,1,817
neu,images/neuL.bmp,1,689
inc,images/incR.bmp,1,817
null,images/fix.bmp,,
con,images/conL.bmp,1,777
con,images/conR.bmp,1,633
null,images/fix.bmp,,
neu,images/neuL.bmp,1,680
inc,images/incR.bmp,1,968
neu,images/neuR.bmp,1,688
null,images/fix.bmp,,
inc,images/incR.bmp,1,904
null,images/fix.bmp,,
neu,images/neuR.bmp,1,632
null,images/fix.bmp,,
con,images/conL.bmp,1,640
inc,images/incL.bmp,0,808
neu,images/neuL.bmp,1,560
con,images/conR.bmp,1,656
null,images/fix.bmp,,
inc,images/incR.bmp,1,977
con,images/conL.bmp,1,593
null,images/fix.bmp,,
con,images/conR.bmp,1,609
null,images/fix.bmp,,
neu,images/neuR.bmp,1,577
null,images/fix.bmp,,
inc,images/incL.bmp,1,1176
null,images/fix.bmp,,
con,images/conR.bmp,1,640
null,images/fix.bmp,,
inc,images/incL.bmp,1,1200
con,images/conL.bmp,1,696
neu,images/neuL.bmp,1,568
inc,images/incR.bmp,1,776
neu,images/neuL.bmp,1,592
inc,images/incL.bmp,1,1248
null,images/fix.bmp,,
con,images/conR.bmp,1,656
con,images/conR.bmp,1,584
con,images/conL.bmp,1,657
neu,images/neuR.bmp,1,609
con,images/conL.bmp,1,601
null,images/fix.bmp,,
inc,images/incL.bmp,1,1001
con,images/conR.bmp,1,545
inc,images/incR.bmp,0,1120
con,images/conL.bmp,1,584
null,images/fix.bmp,,
inc,images/incL.bmp,1,1072
neu,images/neuR.bmp,1,632
null,images/fix.bmp,,
neu,images/neuL.bmp,1,664
null,images/fix.bmp,,
inc,images/incL.bmp,1,904
neu,images/neuR.bmp,1,616
con,images/conR.bmp,1,600
null,images/fix.bmp,,
con,images/conL.bmp,1,584
neu,images/neuL.bmp,1,696
inc,images/incR.bmp,1,1065
null,images/fix.bmp,,
con,images/conR.bmp,1,625
null,images/fix.bmp,,
con,images/conL.bmp,0,609
con,images/conR.bmp,1,793
null,images/fix.bmp,,
con,images/conL.bmp,0,585
neu,images/neuL.bmp,0,560
neu,images/neuL.bmp,0,504
inc,images/incL.bmp,0,1032
null,images/fix.bmp,,
neu,images/neuL.bmp,0,576
null,images/fix.bmp,,
,,,
,,,
